insee_code,total_rooftops,pv_rooftops_count
02036,96,1
02037,1047,16
02038,147,0
02039,230,2
02040,269,3
02041,808,9
02042,415,2
02043,72,0
02044,86,0
02046,614,3
02047,155,2
02048,173,3
02049,864,12
02050,377,8
02051,515,1
02052,153,1
02053,1188,4
02054,556,2
02055,198,0
02056,204,1
02057,1280,9
02058,734,4
02059,1975,16
02060,306,3
02061,288,2
02062,195,1
02063,326,4
02064,2194,13
02065,670,6
02066,245,0
02067,270,2
02068,141,2
02069,181,3
02070,655,3
02071,676,8
02072,326,2
02073,623,3
02074,590,5
02075,230,3
02076,131,6
02078,219,1
02079,329,0
02080,321,8
02081,420,7
02082,181,3
02083,978,6
02084,391,5
02085,887,21
02086,1087,13
02087,62,0
02088,119,1
02089,1038,5
02090,269,1
02091,142,1
02093,1280,4
02094,492,2
02095,4566,25
02096,235,0
02097,322,4
02098,506,2
02099,240,1
02100,161,1
02101,282,0
02102,247,2
02103,1161,10
02104,149,1
02105,271,1
02106,717,4
02107,111,0
02108,161,0
02109,657,4
02110,2110,16
02111,606,4
02112,695,7
02114,1136,13
02115,249,1
02116,285,1
02117,75,3
02118,120,1
02119,435,2
02120,230,4
02121,268,2
02122,97,0
02123,404,5
02124,785,4
02125,233,0
02126,570,3
02127,288,4
02128,1494,4
02129,75,0
02130,248,1
02131,1829,9
02132,211,0
02133,568,5
02134,753,4
02135,1357,6
02136,255,0
02137,172,4
02138,169,2
02139,510,5
02140,598,3
02141,1849,14
02142,223,5
02143,205,2
02144,175,1
02145,551,10
02146,171,0
02148,303,1
02149,60,1
02150,97,1
02151,144,1
02152,147,0
02153,864,8
02154,406,1
02155,184,0
02156,281,6
02157,829,7
02158,409,4
02159,424,4
02160,616,1
02162,344,4
02163,2384,16
02164,353,3
02165,1462,15
02166,398,1
02167,906,5
02168,6658,32
02169,181,3
02170,155,1
02171,113,1
02172,247,4
02173,7796,46
02174,841,12
02175,201,0
02176,213,1
02177,169,2
02178,193,0
02179,466,9
02180,732,7
02181,144,4
02182,215,1
02183,272,0
02184,363,2
02185,490,2
02186,1477,4
02187,957,5
02188,257,0
02189,401,7
02190,501,3
02191,361,3
02192,474,3
02193,172,1
02194,278,3
02195,914,10
02196,381,2
02197,652,4
02198,237,0
02199,567,9
02200,173,3
02201,543,4
02203,1194,8
02204,169,0
02205,228,0
02206,146,0
02207,226,5
02208,290,0
02209,745,3
02210,343,4
02211,375,1
02212,718,4
02213,319,2
02214,61,0
02215,826,7
02216,319,6
02217,924,2
02218,698,3
02219,245,0
02220,703,9
02221,241,2
02222,53,0
02223,436,6
02224,302,4
02225,131,0
02226,1380,9
02227,217,0
02228,395,4
02229,108,1
02230,309,1
02231,819,9
02232,261,4
02233,225,1
02234,143,1
02235,173,0
02236,404,2
02237,1464,6
02238,1566,7
02239,919,9
02240,285,3
02241,174,2
02242,775,7
02243,2151,18
02244,115,1
02245,1139,12
02246,686,5
02248,203,1
02249,165,1
02250,86,0
02251,104,0
02252,122,0
02253,458,1
02254,136,1
02255,187,1
02256,264,0
02257,364,2
02258,430,3
02259,318,1
02260,478,7
02261,459,3
02262,197,2
02263,194,1
02264,885,16
02265,220,0
02266,100,3
02267,329,4
02268,655,8
02269,297,0
02270,200,1
02271,240,0
02272,116,0
02273,227,2
02274,266,1
02275,324,2
02276,250,1
02277,349,6
02278,77,0
02279,721,8
02280,443,3
02281,458,1
02282,438,2
02283,283,2
02284,238,1
02286,1015,6
02287,990,4
02288,392,3
02289,476,3
02290,2365,16
02291,448,3
02292,953,8
02293,659,9
02294,240,1
02295,1094,7
02296,1041,14
02297,180,4
02298,1334,8
02299,548,2
02302,339,2
02303,608,9
02304,1603,9
02305,2621,15
02306,786,3
02307,1709,7
02308,628,7
02309,532,6
02310,357,3
02311,132,0
02312,1265,12
02313,583,5
02315,1525,15
02316,149,0
02317,207,7
02318,1358,18
02319,428,3
02320,255,3
02321,922,5
02322,418,3
02323,165,2
02324,366,3
02326,550,4
02327,212,2
02328,545,4
02329,466,2
02330,406,5
02331,202,2
02332,290,2
02333,139,0
02334,2376,15
02335,178,2
02336,891,9
02337,271,1
02338,320,1
02339,582,4
02340,3524,22
02341,373,2
02342,273,1
02343,115,4
02345,66,1
02346,648,5
02347,519,4
02349,120,1
02350,214,2
02351,200,0
02352,625,7
02353,369,3
02354,135,1
02355,769,5
02356,238,3
02357,121,0
02358,455,4
02359,821,2
02360,2157,17
02361,3978,16
02362,296,1
02363,532,2
02364,272,3
02366,358,6
02367,190,1
02368,581,1
02369,335,4
02370,615,11
02371,943,8
02372,390,2
02373,347,0
02374,602,4
02375,196,1
02376,262,1
02377,296,7
02378,192,1
02379,368,1
02380,68,0
02381,6760,23
02382,904,6
02383,1250,10
02384,86,0
02385,282,2
02386,339,3
02387,886,18
02388,349,2
02389,846,4
02390,268,5
02391,442,2
02392,397,7
02393,227,1
02395,176,3
02396,92,1
02397,1209,10
02398,339,3
